SECTOR,YEAR,MONTH,CEREALS_AND_PRODUCTS,MEAT_AND_FISH,EGG,MILK_AND_PRODUCTS,OILS_AND_FATS,FRUITS,VEGETABLES,PULSES_AND_PRODUCTS,SUGAR_AND_CONFECTIONERY,SPICES,NON-ALCOHOLIC_BEVERAGES,PREPARED_MEALS__SNACKS__SWEETS_ETC.,FOOD_AND_BEVERAGES,PAN__TOBACCO_AND_INTOXICANTS,CLOTHING,FOOTWEAR,CLOTHING_AND_FOOTWEAR,HOUSING,FUEL_AND_LIGHT,HOUSEHOLD_GOODS_AND_SERVICES,HEALTH,TRANSPORT_AND_COMMUNICATION,RECREATION_AND_AMUSEMENT,EDUCATION,PERSONAL_CARE_AND_EFFECTS,MISCELLANEOUS,GENERAL_INDEX
Urban,2013,January,110.5,109.1,113,103.6,103.4,102.3,102.9,105.8,105.1,101.8,105.1,107.9,105.9,105.2,105.9,105,105.8,100.3,105.4,104.8,104.1,103.2,102.9,103.5,104.3,103.7,104
Urban,2013,February,112.9,112.9,116.9,104,103.5,103.1,104.9,104.1,103.8,102.3,106,109,107.2,106,106.6,105.5,106.4,100.4,105.7,105.2,104.7,104.4,103.3,103.7,104.3,104.3,104.7
Urban,2013,March,113.9,111.4,113.2,104.3,102.7,104.9,103.8,103.5,102.6,102.4,107,109.8,107.3,106.8,107.2,106,107,100.4,106,105.7,105.2,105.5,103.5,103.8,104.2,104.9,105
Urban,2013,April,114.6,113.4,106,104.7,102.1,109.5,109.7,104.6,102,103.5,108.2,110.6,108.8,108.5,107.9,106.4,107.7,100.5,106.4,106.5,105.7,105,104,105.2,103.2,105.1,105.7
Urban,2013,May,115.4,114.2,102.7,105.5,101.5,110.6,123.7,105.2,101.9,105,109.1,111.3,111.1,109.8,108.5,106.7,108.3,100.5,107.2,107.1,106.2,103.9,104.6,105.7,102.6,104.9,106.6
Urban,2013,June,117,120.1,112.5,107.3,101.3,112.4,143.6,105.4,101.4,106.4,110,112.2,115,110.9,109.2,107.2,108.9,106.6,108,107.7,106.5,105.2,105.2,108.1,103.3,106.1,109.7
Urban,2013,July,117.8,119.2,114,108.3,101.1,113.2,160.9,105.1,101.3,107.5,110.4,113.1,117.5,111.7,109.8,107.8,109.5,107.7,108.6,108.1,107.1,107.3,105.9,110.1,103.2,107.3,111.4
Urban,2013,August,118.3,120.4,112.7,108.9,101.1,108.7,177,104.7,101,108.5,110.9,114.3,119.6,112.4,110.6,108.3,110.2,108.9,109.3,108.7,107.6,108.1,106.5,110.8,106,108.3,112.7
Urban,2013,September,118.6,119.1,113.2,109.6,101.7,103.2,174.3,105.1,100.8,109.1,111.1,115.4,119.2,112.9,111.4,109,111.1,109.7,109.5,109.6,107.9,110.4,107.4,111.2,106.9,109.4,113.2
Urban,2013,October,118.9,118.1,114.5,110.4,102.3,106.2,183.5,105.3,100.2,109.6,111.4,116,120.8,113.5,112.5,109.7,112,110.5,109.7,110.2,108.2,109.7,108,111.3,107.3,109.4,114
Urban,2013,November,119.8,116.3,122.6,112,103.2,110,192.8,106.3,99.5,110.3,111.8,117.1,122.9,114.1,113.5,110.3,113,111.1,110,110.9,108.6,109.5,108.5,111.3,107.9,109.6,115
Urban,2013,December,120.5,118.1,128.5,112.8,103.4,110.7,144.8,107.1,98.6,111.9,112.1,118.1,117.8,115,114.2,110.9,113.7,110.7,110.4,111.3,109,109.7,108.9,111.4,107.7,109.8,113.3
Urban,2014,January,121.2,122,129.9,113.6,102.9,112.1,118.9,107.5,96.9,112.7,112.1,119,115.5,115.7,114.8,111.3,114.3,111.6,111,111.9,109.7,110.8,109.8,111.5,108,110.5,112.9
Urban,2014,February,121.9,122,124.5,115.2,102.5,114.1,111.5,108.2,95.4,113.5,112.1,119.9,115.2,116.2,115.3,111.7,114.7,112.5,111.1,112.6,110.4,111.3,110.3,111.6,108.7,111,113.1
Urban,2014,March,122.1,121.4,121.5,116.2,102.8,117.7,113.3,108.9,96.3,114.1,112.2,120.5,116,116.7,115.8,112.1,115.2,113.2,110.9,113,110.8,111.6,110.9,111.8,109.2,111.4,113.7
Urban,2014,April,122.5,121.7,113.3,117,103.1,126.7,121.2,111,100.3,115.3,112.7,121,118.2,117.6,116.3,112.5,115.7,113.9,110.9,113.4,111,111.2,111.2,112.5,109.1,111.4,114.7
Urban,2014,May,122.7,124.1,114.2,119.1,103.5,129.2,127,112.6,101.3,117,112.9,121.7,120,118.3,116.8,112.9,116.2,114.3,111.1,114.1,111.2,111.3,111.5,112.9,109.3,111.7,115.6
Urban,2014,June,123.1,125.9,115.4,120.4,103.4,131.2,137.5,112.8,101.4,118.3,113.2,122.4,122,119,117.4,113.2,116.7,113.9,111.2,114.3,111.4,111.5,111.8,115.1,108.7,112.2,116.4
Urban,2014,July,123.8,126.4,118,121.6,103.5,133.7,172.4,113.1,102.7,120,113.8,123.4,127.1,121,118,113.6,117.4,114.8,111.6,114.9,111.5,113,112.4,117.8,109.7,113.5,118.9
Urban,2014,August,124.8,127.3,116.5,122.2,103.6,132.7,181.9,115.2,102.7,122.1,114.4,124.7,128.9,123,118.6,114.1,117.9,115.5,111.8,115.3,112.2,112.5,112.9,119.2,110.5,113.9,119.9
Urban,2014,September,124.2,125.4,116.4,122.7,103.5,124.5,168.6,116.9,101.9,122.9,114.8,125.2,126.7,124.3,119.2,114.5,118.4,116.1,111.8,115.5,112.3,111.2,113.4,120,110,113.6,119.2
Urban,2014,October,124.6,126.1,117.8,123.1,103.5,123.5,159.6,117.4,101.2,123.8,115.2,125.9,125.8,124.3,119.6,114.9,118.9,116.7,112,115.8,112.6,111,113.6,120.2,110.1,113.7,119.1
Urban,2014,November,124.5,125.6,122.7,124.6,103.2,122.2,153.2,119.3,99.8,124.6,115.8,126.9,125.4,125.8,120.3,115.4,119.5,117.1,112.6,116.4,113,109.7,114,120.3,109.6,113.4,119
Urban,2014,December,124,124.7,126.3,124.9,103,122.3,141,120.1,97.8,125.4,116.1,127.6,124,126.4,120.7,115.8,120,116.5,113,116.8,113.2,108.8,114.3,120.7,110.4,113.4,118.4
Urban,2015,January,124,125.5,126.6,125.2,104.3,121.3,134.4,122.9,96.1,126.6,116.5,128,123.5,127.4,121,116.1,120.2,117.3,113.4,117.2,113.7,107.9,114.6,120.8,111.4,113.4,118.5
Urban,2015,February,124.3,126.5,119.5,125.6,104.9,121.6,131.8,125.1,95,127.7,116.8,128.6,123.7,128.1,121.3,116.5,120.6,118.1,114,117.7,114.1,106.8,114.9,120.4,111.7,113.2,118.7
Urban,2015,March,124,126.7,113.5,125.9,104.8,123.8,131.4,127.2,93.2,127.4,117,129.2,123.9,128.8,121.7,116.9,120.9,118.6,114.4,118,114.3,108.4,115.4,120.6,111.3,113.8,119.1
Urban,2015,April,123.8,128.2,110,126.3,104.5,130.6,130.8,131.3,91.6,127.7,117.2,129.5,124.6,130.1,122.1,117.2,121.3,119.2,114.7,118.4,114.6,108.4,115.6,121.7,111.8,114.2,119.7
Urban,2015,May,123.8,129.7,111.3,126.6,105.2,130.8,135.6,142.6,90.8,128.8,117.7,129.9,126.1,131.3,122.4,117.4,121.6,119.6,114.9,118.7,114.9,110.8,116,122,112.4,115.2,120.7
Urban,2015,June,123.6,134.4,120.9,127.3,106,132.3,146.7,148.1,89.8,130.5,118,130.5,128.5,132.1,123.2,117.6,122.3,119,115.1,119.2,115.4,111.7,116.2,123.8,112.5,116,121.7
Urban,2015,July,123.2,134.3,119.5,127.7,106.3,132.8,153.5,149.5,85.7,131.5,118.3,131.1,129.5,133.1,123.5,117.9,122.7,119.9,115.3,119.5,116,111.5,116.6,125.4,111.7,116.3,122.4
Urban,2015,August,123.1,131.7,118.1,128,106.8,130.1,165.5,156,85.3,132.7,118.8,131.7,131.1,134.2,123.7,118.2,122.9,120.9,115.3,120,116.6,109.9,117.2,126.2,112,116.2,123.2
